sentbert	11	59.6	0.5588	('pay', 'said', 'let', 'rev', 'horses', 'prices', 'like', 'paid', 'really', 'higher', 'increase', 'listen', 'people', 'money', 'want', 'just', 'll', 'feel', 'buy', 'paying')	('january', 'canada', 'killed', 'auschwitz', 'died', 'ice', '13', '14', 'months', 'vancouver', 'northwest', 'february', 'winter', '2016', 'freezing', 'week', 'arctic', '2017', 'toronto', 'hospital')	Sanders called his wife in Bartlett, Tennessee, and she urged him to keep going.	Frank died in the Bergen-Belsen concentration camp at age 15.
sentbert	12	54.5	-0.4309	('university', 'university ottawa', 'months', 'graduated', 'hospital', 'college', 'aviv', 'tel aviv', 'lives tel', 'lives tel aviv', 'years', 'canadian', 'ambassador israel', 'bercovici', 'vivian', 'vivian bercovici', 'aviv lives', 'aviv lives tel', 'tel aviv lives', 'ago')	('donald trump', 'said', 'trump', 'human', 'officers', 'male', 'people', 'president donald', 'president donald trump', 'animals', 'gun', 'urged', 'fear', 'black', 'men', '911', 'black people', 'police', 'want', 'criminals')	It wasn't until middle school, when I'd been in remission for five years, that I realized the extent of what I'd been through.	But I wanted to feel drawn to him.
sentbert	13	50	-0.0277	('russia', 'cold war', 'united nations', 'grandmother', 'soviet', 'countries', 'universities', 'family', 'monster', 'hundreds', 'science', 'hospital', 'war', 'kashmir', 'groups', 'union', 'russian', 'saudi', 'nazi germany', 'rebels')	('easy', 'smart', 'good', 'toronto', 'said', 'boat', 'safe', 'simple', 'low', 'comfortable', 'greens', 'ottawa', 'voters', 'morning', 'wednesday', 'trump', 'afternoon', 'careful', 'monday', 'sunday')	More than a dozen Nobel Laureates pleaded with the UN Security Council to intervene.	“It’s understandable that there has to be a short-term, immediate protection so that citizens of Toronto feel safe initially,” Hopper said.
sentbert	14	53.3	0.2145	('np', 'np right', 'popular np', 'popular np right', 'np right popular', 'right popular', 'right popular np', 'yes yes', 'yes yes yes', 'nope', 'absolutely absolutely', 'nope nope', 'nope nope nope', 'popular', 'absolutely absolutely absolutely', 'course course', 'know know know', 'course course course', 'nonsense', 'right')	('parents', 'children', 'family', 'home', 'mother', 'mothers', 'people', 'child', 'told', 'women', 'kids', 'house', 'grandmother', 'old', 'new', 'said', 'father', 'babies', 'daughter', 'school')	And clear and dark along the wall were a series of blood spatters.	She moved into the modest house at her aunt’s urging, after the neighbour tried to move his daughter into the home as a live-in helper.
sentbert	15	51.2	0.1877	('rural', 'cent', 'se', 'australia', 'canada', 'para', 'que', 'por', 'una', '70', 'indigenous', 'alberta', 'conservative', '70 cent', 'south', 'sus', 'israel', 'cent canadians', 'su', 'ndp')	('aliza', 'aliza instagram', 'follow aliza', 'follow aliza instagram', 'city', 'aliza instagram follow', 'instagram follow aliza', 'basement', 'apartment', 'degree', 'bank account', 'shower', 'said', 'elevator', 'wall', 'stairs', 'school', 'fbi', 'instagram', 'seattle')	What percentage of Parliament Hill pundits and columnists are under 40 or representative of ethnically and culturally diverse 21st-century Canada?	Take a masterclass in a nearby city.
sentbert	16	56.8	0.3832	('sleep', 'didn', 'hard', 'eating', 'wasn', 'kids', 'people don', 'kid', 'doesn', 'people', 'kitchen', 'poor', 'couldn', 'don', 'time', 'morning', 'bed', 'said', 'busy', 'chicken')	('commentator', 'randall', 'denley', 'denley ottawa', 'randall denley', 'randall denley ottawa', 'canada', 'canadian', 'political commentator', 'ottawa political', 'denley ottawa political', 'ottawa political commentator', 'ottawa', 'ottawa writer', 'pc', 'ontario pc', 'ontario pc candidate', 'pc candidate', 'candidate randall', 'candidate randall denley')	I was a late bloomer when it came to masturbating, and even when I figured it out, I was hesitant to ask for what I wanted in bed.	They include those born in Canada, those born outside of Canada (to Canadian citizens) or naturalized Canadians who have moved back to their country of origin or to a third country.
sentbert	17	61.2	-0.7964	('500', 'com twitter', 'nationalpost', 'nationalpost com', 'nationalpost com twitter', '000', 'ad_humphreys', 'ahumphreys', 'ahumphreys nationalpost', 'ahumphreys nationalpost com', 'com twitter ad_humphreys', 'email ahumphreys', 'email ahumphreys nationalpost', 'twitter ad_humphreys', 'ad_humphreys email', 'ad_humphreys email ahumphreys', 'twitter ad_humphreys email', 'cent', 'facebook', '300')	('hard', 'frustrating', 'tough', 'said', 'wrong', 'scary', 'dangerous', 'just', 'really', 'easy', 'fun', 'complicated', 'thing', 'time', 'work', 'exhausting', 'isn', 'bit', 'doesn', 'really hard')	About a third of children in the United States use dietary supplements, according to a nationally representative survey of American children and adolescents.	So it’s a really quite a strenuous environment to be in,” he said.
sentbert	18	49.9	-0.0078	('twitter com', 'twitter follow', 'kellymcparland', 'kellymcparland twitter', 'twitter kellymcparland', 'kellymcparland twitter kellymcparland', 'twitter kellymcparland twitter', 'twitter', 'follow hannah', 'follow hannah twitter', 'hannah twitter', 'hannah twitter follow', 'twitter follow hannah', 'com ivisonj', 'ivisonj', 'twitter com ivisonj', 'com twitter', 'com twitter com', 'mattgurney', 'prison')	('60', 'black', '50', 'burned', 'cent', 'million', '59', 'sunday', '150', '60 cent', 'fires', 'flames', '50 000', 'percent', 'killed', '300', 'people', 'islam', '40', 'parents')	It turned out he was in prison.	Indigenous Women and Their Human Rights in the Americas
sentbert	19	54.2	-0.3153	('muslim', 'syria', 'isis', 'kurdish', 'skin', 'assad', 'white', 'syrian', 'islamic', 'chemical weapons', 'muslim women', 'yellow', 'weapons', 'pink', 'sunni', 'red', 'iraqi', 'syrian government', 'groups', 'islamic state')	('cent', 'hour', 'job', 'lifetime', 'hours', 'said', 'hardest', 'time', '50', 'year', 'day', 'week', 'long', '70 cent', 'night', 'longest', '24 hours', 'lasted', '60', 'new york')	The gilets jaunes protesters, who have been mostly white, took their name from the fluorescent yellow hazard vests they wore.	He was in graduate school at Notre Dame.
sentbert	20	50.6	0.0545	('prison', 'death row', 'liberals', 'sentenced', 'conservatives', 'executions', 'federal', 'trial', 'conservative', 'convicted', 'judge', 'sentence', 'jail', 'majority', 'votes', 'people', 'said', 'women', 'mps', 'jury')	('boat', 'blue', 'ocean', 'shark', 'swimming', 'helicopter', 'swim', 'shore', 'plane', 'sharks', 'whale', 'flew', 'car', 'boy', 'aquarium', 'baseball', 'children', 'flight', 'said', 'airport')	The judge and barristers not only wore the robes that Canadian lawyers don in superior courts, but sported UK-style legal wigs, too.	Down the beach, a white egret standing in the shallows takes flight in a burst of sound as the fishermen lift their net to reveal its glinting catch.
sentbert	21	54.2	-0.2774	('greek', 'greece', 'changed changed', 'changed changed changed', 'years', '20s', 'said', 'socrates', 'years ago', 'half', 'time', 'twice', 'like', 'say', 'israel', 'asked asked', 'georgia', 'saturn', 'asked', '30 years')	('public', 'health', 'news', 'hospital', 'medical', 'said', 'autism', 'help', 'great', 'toronto', 'excited', 'canadians', 'attention', 'child', 'park', 'applauded', 'appreciate', 'conservation', 'joy', 'global')	Spain, France, Portugal, Greece, etc.	This child presented a perfect picture of this type of rabies state,” Zimmermann wrote in a post dated Feb. 8.
sentbert	22	51.1	-0.0909	('canada', 'steel', 'ontario', 'industry', 'fuel', 'ice', 'recent', 'harder', 'steadily', 'oil', 'hydro', 'said', 'electricity', 'fossil', 'alberta', 'women', 'saturday', 'aluminum', 'coal', 'industries')	('fun', 'email protected', 'cute', 'beautiful', 'schwarz', 'email protected theintercept', 'protected theintercept', 'protected theintercept com', 'theintercept', 'theintercept com', 'laughed', 'lucky', 'easy', 'beach', 'funny', 'glad', 'just', 'email', 'innocent', 'bed')	TORONTO  -  Ontario’s premier ramped up criticisms of the province’s teachers on Thursday, demanding they resume regular work even as major unions forged ahead with widespread strikes.	Dogs are happy and fluffy and furry and smiley.
sentbert	23	51.4	-0.1488	('canada', 'health', 'community', 'city', 'economic', 'reducing', 'indigenous', 'law', 'institutions', 'university', 'said', 'german', 'business', 'communities', 'support', 'canadian', 'sustainable', 'ottawa', 'plan', 'economy')	('funny', 'knows knows', 'don know', 'answer', 'knows', 'crazy', 'don', 'inaudible', 'occasionally', 'know', 'knows knows knows', 'just', 'girls', 'girl', '10', 'woman', 'couldn believe', 'inaudible inaudible', 'laugh', 'sexy')	They gave Gary Bauer the seed money to start the Family Research Council and poured money into James Dobson’s Focus on the Family.	She’s still smiling, joking.
sentbert	24	49.1	-0.0231	('president donald', 'president donald trump', 'trump', 'canada', 'president', 'north', 'donald', 'donald trump', 'korea', 'country', 'seoul', 'canadian', 'united', 'north korea', 'minister', 'united states', 'aboriginal', 'johnson', 'national', 'canadians')	('knows knows', 'quiet', 'knows knows knows', 'nodded', 'smile', 'smooth', 'just', 'people', 'didn matter', 'smiled', 'said', 'cpl', 'shaken', 'fine', 'little', 'simple', 'cameras', 'watched', 'did', 'normal')	Stern asks, talking to Trump about Lindsay Lohan in 2004.	Fiat also closely monitored worker meetings.
sentbert	25	57	-0.3581	('murder', 'police', 'killed', 'year old', 'death', 'knife', 'meat', '000', 'shot', 'women', 'degree murder', 'mcdonald', 'rifle', 'local', 'family', 'woman', '2002', 'man', 'dog', '1998')	('changing', '10 10', '10 10 10', 'happen', 'changed', 'time', 'change', '11 11', 'ahead ahead', 'new', 'going', '11 11 11', 'ahead ahead ahead', 'tomorrow', 'update', 'soon', 'going happen', 'said', 'interesting', '12 12')	In 1999, he and his former CUAC Blues teammates were inducted into the Manitoba Baseball Hall of Fame.	Hopefully, that’s about to change.
sentbert	26	52.4	0.243	('non partisan', 'kurl', 'director angus', 'director angus reid', 'executive director angus', 'institute national', 'institute national profit', 'kurl executive', 'kurl executive director', 'national profit', 'national profit non', 'non partisan public', 'opinion research', 'opinion research foundation', 'partisan public', 'partisan public opinion', 'profit non', 'profit non partisan', 'public opinion research', 'reid institute national')	('10', 'hours', 'busy', 'struggled', 'expensive', 'time', 'jobs', 'mexico', '10 years', 'long', 'desk', 'flight', 'prison', 'people', 'attendant', 'long time', 'thousands', 'decades', 'hundreds', 'oil')	Toska speaks of the Village like it’s a small town in southern Ontario.	A flight just to get to Mexico City was nearly $4,000.
sentbert	27	52.4	-0.1262	('trees', 'use', 'truck', 'water', 'vehicle', 'food', 'home', 'weather', 'meat', 'night', 'animals', 'car', 'public', 'want', 'feed', 'pets', 'plants', 'black', 'birds', 'window')	('const', 'const const', 'const const const', 'period period', 'couldn believe', 'period period period', 'unbelievable', 'kidding', 'said', 'shocked', 'like', 'just', 'coincidence', 'ago', 'married', 'oh', 'years', 'oh god', 'believe', 'god oh')	The planes will be outfitted with electro-optical sensors that would allow the aircraft to track the movement of individuals and vehicles on the ground.	$22.00
sentbert	28	49.3	-0.0363	('partnership partnership', 'partnership partnership partnership', 'dinner', 'smile', 'partnership', 'best friend', 'table', 'cute', 'people', 'perfect', 'like', 'beautiful', 'christmas', 'said', 'concert', 'family friends', 'picnic', 'happy', '20', 'friends')	('car', 'deported', 'stolen', 'police', 'canadian', 'money', 'driving', 'border', 'lost', 'mexico', 'mexican', 'immigration', 'passport', 'speeding', 'driver', 'said', 'drove', 'ontario', 'parking lot', 'taxi')	It's great to spend time eating with the whole family.	Bleeding from his face and wrist, he jogged back down the trail, where he met other runners who got him to a hospital.
sentbert	29	48.9	-0.0021	('trump', 'donald', 'donald trump', 'plane', 'said', 'pilots', 'helicopter', 'single', 'justice', 'texas', '50', 'game', 'fighter', 'hero', 'soviet', 'russian', 'time', 'decades', 'pilot', 'just')	('china', 'kitchen', 'chinese', 'bedroom', 'cried', 'boy', 'said', 'british', 'shower', 'toilet', 'bed', 'april', 'bathroom', 'bleeding', 'cookies', 'year', '26', 'measles', '16', 'virus')	TRUMP: There’s nothing beyond Supreme Court.	Our eight-year-old started to cry.
sentbert	30	59.1	0.7713	('don want', 'wrong', 'said', 'avoid', 'want', 'wouldn', 'like', 'didn want', 'prevent', 'don', 'way', 'sure', 'faith', 'think', 'just', 'didn', 'harm', 'make', 'people', 'empathy')	('week', 'weeks', 'wednesday', 'ottawa', 'afternoon', 'canada', 'thursday', 'hours', 'morning', 'months', 'year', 'monday', 'years', 'tuesday', 'recent weeks', 'rocket', 'recent', 'saturday', 'month', 'new')	And if that voice is now repentant and seeks mercy, as he should, that, too, can be a lesson at the service of the gospel.	In recent weeks, Iran has prominently displayed its centrifuges and threatened to resume enriching uranium at higher rates.
sentbert	31	49.3	0.014	('drunk', '10', 'laugh', 'cent', 'sweet', '10 cent', 'joy', 'said', 'bottle', 'didn', 'cute', 'beer', 'free', 'warm', 'children', 'fun', 'doesn', 'laughed', 'tax', 'young')	('paperwork', 'white house', 'committee', 'president', 'documents', 'military', 'sgt sgt', 'sgt sgt sgt', 'fbi', 'house', 'documents published', 'hospital', 'documents published article', 'published article', 'files', 'office', 'said', 'article documents', 'article documents published', 'published article documents')	Suddenly, I heard a mischievous giggle from the back seat.	Applicants outline their plans and fill out paperwork.
sentbert	32	54	-0.1605	('twitter follow', 'ottawa writer', 'adam', 'adam ottawa', 'adam ottawa writer', 'mohammed adam', 'mohammed adam ottawa', 'ottawa writer mohammed', 'writer mohammed', 'writer mohammed adam', 'gmail', 'gmail com', 'subscribe', 'basement', 'jill', 'subscribe subscribe', 'follow heather', 'follow heather twitter', 'heather twitter', 'subscribe subscribe subscribe')	('nato', 'eu', 'iran', 'european', 'states', 'political', 'said', 'law', 'united states', 'decision', 'europe', 'rights', 'war', 'deal', 'policy', 'saudi', 'national', 'turkey', 'likely', 'countries')	Everyone prayed.”	While the changes are meant to soothe tensions with strategically important allies such as the United States and the European Union, Law and Justice also appeared eager to limit the political fallout among the party’s more extreme right-wing supporters.
sentbert	33	50.4	0.0984	('shark', 'whale', 'swimming', 'sea', 'don', 'don want', 'boat', 'whales', 'people', 'pictures', 'anymore', 'said', 'time', 'submarine', 'want', 'like', 'ocean', 'fishermen', 'people don', 'didn')	('restaurant', 'dinner', 'house', 'wine', 'living room', 'inside', 'basement', 'windows', 'apartment', 'apple podcasts', 'apple podcasts spotify', 'dark north', 'dark north apple', 'north apple', 'north apple podcasts', 'pizza', 'podcasts', 'podcasts spotify', 'table', 'paint')	“I don’t usually associate this kind of personality with a female lion,” he said.	Warren welcomed them inside and examined the blisters on their feet.
